CodigoArticulo,DESCRIPCION,PRESENTACION,Precios,GrupoTerapeutico,Año
1515,Oxido de Zinc ,Frasco 120 ml,RD$15.00,Emoliente Cutáneo,2022
10335,Pañal Desechable (S) 4-10kg,Unidad,RD$10.00,Insumo Hospitalario,2022
9879,Pañal Desechable Grande para Adultos (Large),Unidad,RD$20.00,Insumo Hospitalario,2022
9705,Pañal Desechable Mediano para Adulto ,Unidad,RD$20.00,Insumo Hospitalario,2022
10389,Pañal Desechable Niños (M) 9-15kg,Unidad,RD$10.00,Insumo Hospitalario,2022
10479,Pañal Desechable para niños L ,Unidad,RD$12.00,Insumo Hospitalario,2022
9750,Pañal Desechable Pequeño para Adulto,Unidad,RD$20.00,Insumo Hospitalario,2022
10336,Pañal Desechable Recien Nacido 2-5 kg,Unidad,RD$10.00,Insumo Hospitalario,2022
1194,Penicilina G Benzatínica 1.2,Vial,RD$10.00,Antibacteriano/Antibioticos,2022
1195,"Penicilina G. Benzatínica 2,400,000 UI",Vial,RD$15.00,Antibacteriano/Antibioticos,2022
1196,"Penicilina G. Benzatínica 600,000 UI",Vial,RD$10.00,Antibacteriano/Antibioticos,2022
1202,"Penicilina G.Procaínica 4,00,000 UI .",Vial,RD$5.00,Antibacteriano/Antibioticos,2022
1201,"Penicilina G.Procaínica 4,000,000 UI .",Vial,RD$20.00,Antibacteriano/Antibioticos,2022
1202,"Penicilina G.Procaínica 400,000 UI",Vial,RD$5.00,Antibacteriano/Antibioticos,2022
2432,Perita De Aspiración Nasal,Unidad,RD$15.00,Insumo Hospitalario,2022
9397,Permetrina 1% Champú,Frasco 60 ml,RD$40.00,Escabicida y Pediculicida,2022
9177,Permetrina 1% Loción,Frasco 60 ml,RD$40.00,Escabicida y Pediculicida,2022
9154,Permetrina 5% Crema,Tubo 30 tubo,RD$25.00,Escabicida y Pediculicida,2022
9400,Prednisona,Tableta 50 mg,RD$6.00,Antiinflamatorio Esteroideo,2022
10272,Prednisona ,Tableta  20 mg,RD$5.00,Antiinflamatorio Esteroideo,2022
1646,Prednisona ,Tableta 5 mg,RD$0.70,Antiinflamatorio Esteroideo,2022
10295,Pregabalina ,Capsula 300 mg,RD$20.00,Antiepiléptico/Analgésico,2022
10294,Pregabalina ,Capsula75 mg,RD$10.00,Antiepiléptico/Analgésico,2022
3344,Preservativo Masculino ,Unidad,RD$2.00,Insumo Hospitalario,2022
10271,Propanolol ,Tableta 20 mg,RD$0.40,Cardiovasculares/Antianginoso,2022
9083,Propranolol ,Tableta 40 mg,RD$0.50,Cardiovasculares/Antianginoso,2022
9607,Proteína Hiperprotética Suplemento Nutricional Líquido,Frasco 8 Onzas,RD$100.00,Nutrición,2022
9625,Proteína Polimérica con Probiótico ,Lata 400 g,RD$280.00,Nutrición,2022
9002,Proteína Polimérica con Probióticos Líquida,Frasco 8 Onzas,RD$60.00,Nutrición,2022
9626,Proteína Polimérica en Polvo ,Lata 400 g,RD$300.00,Nutrición,2022
9627,Proteína Polimérica Líquida ,Frasco 8 Onzas,RD$60.00,Nutrición,2022
9557,Proteina Polimerica Modulo Proteico ,Lata 275 g,RD$300.00,Nutrición,2022
9558,Proteína Polimérica para Diabetes Líquida ,Frasco 8 Onzas,RD$70.00,Nutrición,2022
9606,Proteína Poliméricas Hiperprotéica Líquida ,Frasco 8 Onzas,RD$120.00,Nutrición,2022
10416,Quetiapina,Tableta 25 mg,RD$16.00,Antpsicoticos,2022
10410,Quetiapina ,Tableta 100 mg,RD$30.00,Antpsicoticos,2022
10296,Ramipril ,Tableta 5 mg,RD$1.00,Cardiovasculares/Antihipertensivo,2022
